CHEMICAL,CAS#,Formula,MolecularWeight,C_atoms,Carbon_Fraction
Dimethylamine dicamba,2300-66-5,C10H13Cl2NO3,266.12,10,45.13
Dinitrobutyl phenol,88-85-7,C10H12N2O5,240.21,10,50.0
Dinitrotoluene (mixed isomers),25321-14-6,C7H6N2O4,182.13,7,46.16
Diphenylamine,122-39-4,C12H11N,169.22,12,85.17
Dipropyl isocinchomeronate,136-45-8,C13H17NO4,251.28,13,62.14
Ethoprop,13194-48-4,C8H19O2PS2,242.3,8,39.66
Ethyl acrylate,140-88-5,C5H8O2,100.12,5,59.98
Ethyl chloroformate,541-41-3,C3H5ClO2,108.52,3,33.2
Ethylbenzene,100-41-4,C8H10,106.16,8,90.51
Ethylene,74-85-1,C2H4,28.05,2,85.64
Ethylene glycol,107-21-1,C2H6O2,62.07,2,38.7
Ethylene oxide,75-21-8,C2H4O,44.05,2,54.53
Ethylene thiourea,96-45-7,C3H6N2S,102.16,3,35.27
Ethyleneimine,151-56-4,C2H5N,43.07,2,55.77
Fenpropathrin,39515-41-8,C22H23NO3,349.4,22,75.63
"Hexachloro-1,3-butadiene",87-68-3,C4Cl6,260.8,4,18.42
Hexachlorobenzene,118-74-1,C6Cl6,284.8,6,25.3
Hexachlorocyclopentadiene,77-47-4,C5Cl6,272.8,5,22.01
Hexachloroethane,67-72-1,C2Cl6,236.7,2,10.15
Hexachlorophene,70-30-4,C13H6Cl6O2,406.9,13,38.37
Hexafluoropropylene oxide dimer acid,13252-13-6,C6HF11O3,330.05,6,21.83
Hexafluoropropylene oxide dimer acid ammonium salt,62037-80-3,C6H4F11NO3,347.08,6,20.76
Hexazinone,51235-04-2,C12H20N4O2,252.31,12,57.12
Hydramethylnon,67485-29-4,C25H24F6N4,494.5,25,60.72
Isobutyraldehyde,78-84-2,C4H8O,72.11,4,66.63
"Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)",67-63-0,C3H8O,60.1,3,59.96
Lithium carbonate,554-13-2,CLi2O3,73.9,1,16.25
Mecoprop,93-65-2,C10H11ClO3,214.64,10,55.96
Methacrylonitrile,126-98-7,C4H5N,67.09,4,71.61
Methanol,67-56-1,CH4O,32.042,1,37.49
Methiocarb,2032-65-7,C11H15NO2S,225.31,11,58.64
Methoxone,94-74-6,C9H9ClO3,200.62,9,53.88
Methoxychlor,72-43-5,C16H15Cl3O2,345.6,16,55.61
Methyl acrylate,96-33-3,C4H6O2,86.09,4,55.81
Methyl chlorocarbonate,79-22-1,C2H3ClO2,94.5,2,25.42
Methyl hydrazine,60-34-4,CH6N2,46.072,1,26.07
Methyl iodide,74-88-4,CH3I,141.939,1,8.46
Methyl isobutyl ketone,108-10-1,C6H12O,100.16,6,71.95
Methyl isocyanate,624-83-9,C2H3NO,57.05,2,42.11
Methyl isothiocyanate,556-61-6,C2H3NS,73.12,2,32.85
Methyl methacrylate,80-62-6,C5H8O2,100.12,5,59.98
Methyl parathion,298-00-0,C8H10NO5PS,263.21,8,36.51
Methyl tert-butyl ether,1634-04-4,C5H12O,88.15,5,68.13
Methylene bromide,74-95-3,CH2Br2,173.83,1,6.91
Monochloropentafluoroethane (CFC-115),76-15-3,C2ClF5,154.46,2,15.55
Myclobutanil,88671-89-0,C15H17ClN4,288.77,15,62.39
"N,N-Dimethylaniline",121-69-7,C8H11N,121.18,8,79.29
"N,N-Dimethylformamide",68-12-2,C3H7NO,73.09,3,49.3
N-Hydroxyethylethylenediamine,111-41-1,C4H12N2O,104.15,4,46.13
N-Methyl-2-pyrrolidone,872-50-4,C5H9NO,99.13,5,60.58
N-Methylolacrylamide,924-42-5,C4H7NO2,101.1,4,47.52
N-Nitroso-N-ethylurea,759-73-9,C3H7N3O2,117.11,3,30.77
N-Nitroso-N-methylurea,684-93-5,C2H5N3O2,103.08,2,23.3
N-Nitrosodi-n-butylamine,924-16-3,C8H18N2O,158.24,8,60.72
N-Nitrosodi-n-propylamine,621-64-7,C6H14N2O,130.19,6,55.35
N-Nitrosodiethylamine,55-18-5,C4H10N2O,102.14,4,47.04
